topic,score
hn,1346.85902758798
ai,720.7634758446721
update,480.50810110211825
data,422.4245868431666
add,327.8121131964795
ios,320.63858990468725
aws,282.10445393284914
fix,262.95213493950445
create,260.31052388728574
open,256.6211077854929
source,227.12439123511115
open source,214.91445416836473
ask,214.32112513333442
ask hn,212.5428298575012
branch,200.1928516080929
create branch,190.52409740638154
blockchain,178.65010150975692
database,164.89666193032025
api,164.14097992711652
react,163.51423103067467
app,161.84905523837844
main,161.56773887308762
test,159.43884439646556
pull,129.2467879944961
master,113.77297423571596
push,113.22109960131527
heads,106.53109648401542
refs,105.80843911859074
refs heads,105.80843911859074
push refs,104.98129439040092
